APP, V-PRISM Approach, BAT1_MIN, BAT1_MAX, Default Approach , BAT2, BAT2_MIN, BAT2_MAX
1,	23.82,2,2,	23.82,2,2
2,	27.71,2,2,	62.51,3.1,3.1
5,	27.62,2,2,	135.83,6.75,6.75
10,	23.28,2,2,	240.13,12,12
20,	21.65,2,2,	371.75,18.5,18.5
