1;24;24;2.4;2.4;23.82;23.82
2;24;36.5;3;3.72;27.71;62.51
5;21;44.9;2.64;4.06;27.62;135.83
10;25;57;3.1;5.3;23.28;240.13
20;26;78;3.14;7.16;21.65;371.75
